Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q10g,Q11,Q11a,Q11b,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11
25-35,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,2-5 years,"Colleagues I consider close friends,My direct supervisor (if not library director)","When my illness/disability impacted my work,As I built a personal relationship with colleagues",,"When my illness/disability impacted my work,When requesting accommodations",,,,,Yes,Unsure,"Work schedule (change in hours, work from home, etc)",Agree,Strongly agree,N/A,Agree,N/A,Agree,N/A,Agree        ,Strongly agree        ,Disagree        ,Disagree        ,Neither agree nor disagree      ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Agree        ,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree
55 or older,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,5-10 years,No one,,,,,,,,No,,,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree      ,Neither agree nor disagree      ,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Neither agree nor disagree      ,Disagree        ,Neither agree nor disagree      ,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,N/A,N/A,N/A,N/A,Agree,Neither agree nor disagree,N/A,N/A,N/A,N/A
35-45,she/hers,White,Yes,Yes,Unsure,Unsure,20+ years,Less than 2 years,Colleagues I consider close friends,When my illness/disability impacted my work,,,,,,,No,,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Strongly disagree,Disagree        ,Disagree        ,Disagree        ,Disagree        ,N/A,N/A,,Neither agree nor disagree      ,Agree        ,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,N/A,N/A,N/A,Neither agree nor disagree,Strongly agree,N/A,N/A,N/A,N/A
35-45,she/hers,White,Yes,Yes,Unsure,Unsure,10-15 years,5-10 years,Colleagues I consider close friends,"Once I began working,As I built a personal relationship with colleagues",,,,,,,No,,,Agree,Agree,Disagree,Disagree,N/A,N/A,Disagree,Disagree        ,Agree        ,Disagree        ,Strongly disagree        ,Strongly disagree        ,N/A,N/A,Neither agree nor disagree      ,Disagree        ,Disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
55 or older,she/hers,White,Yes,Yes,Yes,Yes,20+ years,2-5 years,I am open about my illness/disability with everyone,,,,,,,Upon receiving a diagnosis or beginning treatment,No,,,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Agree        ,Strongly agree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree
25-35,she/hers,Black/African American,Yes,Yes,No,No,Less than 5 years,2-5 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Human Resources/disability office,I am open about my illness/disability with everyone","When my illness/disability impacted my work,As I built a personal relationship with colleagues",When my illness/disability impacted my work,"When my illness/disability impacted my work,When requesting accommodations",,,When requesting accommodations,As I built a personal relationship with colleagues,Yes,Yes,"Work schedule (change in hours, work from home, etc)",N/A,N/A,Strongly disagree,Disagree,Disagree,Disagree,N/A,Disagree        ,Disagree        ,Disagree        ,Strongly disagree        ,Disagree        ,Agree        ,Agree        ,Disagree        ,Disagree        ,Disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree
35-45,he/his,White,Yes,Yes,Yes,Yes,Less than 5 years,Less than 2 years,"Colleagues I consider close friends,Colleagues I work with regularly,Library director ","When my illness/disability impacted my work,As I built a personal relationship with colleagues,When requesting accommodations","As I built a personal relationship with colleagues,When requesting accommodations",,,"As I built a personal relationship with colleagues,When requesting accommodations",,,Yes,Yes,"Work environment (furniture, office location, etc.)",Strongly agree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,N/A,Strongly disagree        ,Disagree        ,Strongly disagree        ,N/A,Agree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Disagree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-45,she/hers,White,Yes,Yes,Yes,Yes,10-15 years,2-5 years,I am open about my illness/disability with everyone,,,,,,,When my illness/disability impacted my work,Yes,Unsure,"Work environment (furniture, office location, etc.),Work schedule (change in hours, work from home, etc)",Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,N/A,Agree,Disagree,Neither agree nor disagree      ,Agree        ,Agree        ,Neither agree nor disagree      ,Agree        ,Strongly agree        ,Agree        ,Disagree        ,Disagree        ,Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Disagree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree
25-35,he/his,White,No,No,Yes,Yes,5-10 years,2-5 years,Colleagues I consider close friends,As I built a personal relationship with colleagues,,,,,,,No,,,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree      ,Agree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,N/A,N/A,Disagree        ,Disagree        ,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,N/A,N/A,N/A,N/A,Neither agree nor disagree,Agree,N/A,N/A,N/A,N/A
35-45,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,2-5 years,"Colleagues I work with regularly,My direct supervisor (if not library director),Human Resources/disability office,I am open about my illness/disability with everyone",,"Once I began working,As I built a personal relationship with colleagues",Once I began working,,,"As I built a personal relationship with colleagues,When requesting accommodations",As I built a personal relationship with colleagues,Yes,Unsure,"Job duties (shifting from in-person to online instruction, front end to back end duties, etc).,Work schedule (change in hours, work from home, etc)",Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Agree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Agree        ,Strongly agree        ,Strongly agree        ,Agree        ,Agree        ,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Neither agree nor disagree,,N/A,N/A,Disagree,Disagree,Disagree,Disagree,Disagree,Agree
55 or older,she/hers,White,Yes,Yes,Yes,Yes,20+ years,2-5 years,Colleagues I consider close friends,"Once I began working,When my illness/disability impacted my work,As I built a personal relationship with colleagues",,,,,,,Yes,Yes,Other,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree      ,Strongly agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Disagree        ,Neither agree nor disagree      ,Agree        ,Agree        ,Agree        ,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree
35-45,she/hers,"White,Other",Unsure,Yes,Unsure,Yes,10-15 years,2-5 years,No one,,,,,,,,No,,,Disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree      ,Neither agree nor disagree      ,N/A,N/A,N/A,N/A,N/A,Neither agree nor disagree      ,Agree        ,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,N/A,N/A,N/A,N/A,Neither agree nor disagree,Agree,N/A,N/A,N/A,N/A
35-45,she/hers,White,Yes,Yes,Yes,Yes,10-15 years,Less than 2 years,"My direct supervisor (if not library director),Other library administrator/manager that I do not report to directly",,,"Once I began working,As I built a personal relationship with colleagues,Other","Once I began working,As I built a personal relationship with colleagues",,,,Yes,Unsure,"Work environment (furniture, office location, etc.),Work schedule (change in hours, work from home, etc)",Neither agree nor disagree,Agree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Agree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
25-35,they/them,White,No,No,Yes,Yes,Less than 5 years,Less than 2 years,No one,,,,,,,,No,,,Agree,Agree,Agree,N/A,Strongly disagree,N/A,Strongly disagree,Disagree        ,Strongly agree        ,N/A,N/A,,N/A,N/A,Disagree        ,Disagree        ,Agree,Disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,N/A,N/A,N/A,N/A,Neither agree nor disagree,Agree,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,Less than 2 years,Colleagues I consider close friends,As I built a personal relationship with colleagues,,,,,,,No,,,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree        ,Strongly agree        ,Agree        ,N/A,N/A,N/A,N/A,Strongly agree        ,Disagree        ,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,N/A,N/A,N/A,N/A,Strongly agree,Strongly agree,N/A,N/A,N/A,N/A
35-45,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,2-5 years,No one,,,,,,,,No,,,Agree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Agree        ,Strongly agree        ,N/A,N/A,N/A,,N/A,Agree        ,Agree        ,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,N/A,N/A,N/A,,Agree,Agree,N/A,N/A,N/A,N/A
25-35,he/his,White,No,No,Yes,Yes,Less than 5 years,Less than 2 years,"Colleagues I consider close friends,My direct supervisor (if not library director),Human Resources/disability office","When my illness/disability impacted my work,As I built a personal relationship with colleagues",,"When my illness/disability impacted my work,When requesting accommodations",,,"When my illness/disability impacted my work,When requesting accommodations",,Unsure,,,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree        ,Agree        ,Disagree        ,Disagree        ,Disagree        ,Agree        ,Agree        ,Agree        ,Strongly agree        ,Agree,Strongly agree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly agree,Agree,Disagree,Strongly disagree,Disagree,Agree,N/A,N/A,Disagree,Disagree,Disagree,Disagree
25-35,she/hers,White,Yes,Yes,No,No,5-10 years,Less than 2 years,No one,,,,,,,,No,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree        ,Disagree        ,N/A,N/A,N/A,N/A,N/A,Strongly disagree        ,Strongly disagree        ,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,N/A,N/A,N/A,N/A,Agree,Disagree,Agree,N/A,N/A,N/A
25-35,they/them,Other,Yes,Yes,Yes,Yes,10-15 years,Less than 2 years,"Colleagues I consider close friends,My direct supervisor (if not library director),Human Resources/disability office",When my illness/disability impacted my work,,When requesting accommodations,,,Once I began working,,Yes,Yes,"Work environment (furniture, office location, etc.),Work schedule (change in hours, work from home, etc)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree        ,Strongly agree        ,Agree        ,Agree        ,Strongly agree        ,Agree        ,Agree        ,Strongly agree        ,Neither agree nor disagree      ,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
